id;jhi_key;name
116;FAMILY_MANTINE;Mantine
117;FAMILY_SKARMORY;Skarmory
118;FAMILY_HOUNDOUR;Houndour
119;FAMILY_PHANPY;Phanpy
120;FAMILY_STANTLER;Stantler
121;FAMILY_SMEARGLE;Smeargle
122;FAMILY_MILTANK;Miltank
123;FAMILY_RAIKOU;Raikou
124;FAMILY_ENTEI;Entei
125;FAMILY_SUICUNE;Suicune
126;FAMILY_LARVITAR;Larvitar
127;FAMILY_LUGIA;Lugia
128;FAMILY_HO_OH;Ho Oh
129;FAMILY_CELEBI;Celebi
130;FAMILY_TREECKO;Treecko
131;FAMILY_TORCHIC;Torchic
132;FAMILY_MUDKIP;Mudkip
133;FAMILY_POOCHYENA;Poochyena
134;FAMILY_ZIGZAGOON;Zigzagoon
135;FAMILY_WURMPLE;Wurmple
136;FAMILY_LOTAD;Lotad
137;FAMILY_SEEDOT;Seedot
138;FAMILY_TAILLOW;Taillow
139;FAMILY_WINGULL;Wingull
140;FAMILY_RALTS;Ralts
141;FAMILY_SURSKIT;Surskit
142;FAMILY_SHROOMISH;Shroomish
143;FAMILY_SLAKOTH;Slakoth
144;FAMILY_NINCADA;Nincada
145;FAMILY_WHISMUR;Whismur
146;FAMILY_MAKUHITA;Makuhita
147;FAMILY_NOSEPASS;Nosepass
148;FAMILY_SKITTY;Skitty
149;FAMILY_SABLEYE;Sableye
150;FAMILY_MAWILE;Mawile
151;FAMILY_ARON;Aron
152;FAMILY_MEDITITE;Meditite
153;FAMILY_ELECTRIKE;Electrike
154;FAMILY_PLUSLE;Plusle
155;FAMILY_MINUN;Minun
156;FAMILY_VOLBEAT;Volbeat
157;FAMILY_ILLUMISE;Illumise
158;FAMILY_ROSELIA;Roselia
159;FAMILY_GULPIN;Gulpin
160;FAMILY_CARVANHA;Carvanha
161;FAMILY_WAILMER;Wailmer
162;FAMILY_NUMEL;Numel
163;FAMILY_TORKOAL;Torkoal
164;FAMILY_SPOINK;Spoink
165;FAMILY_SPINDA;Spinda
166;FAMILY_TRAPINCH;Trapinch
167;FAMILY_CACNEA;Cacnea
168;FAMILY_SWABLU;Swablu
169;FAMILY_ZANGOOSE;Zangoose
170;FAMILY_SEVIPER;Seviper
171;FAMILY_LUNATONE;Lunatone
172;FAMILY_SOLROCK;Solrock
173;FAMILY_BARBOACH;Barboach
174;FAMILY_CORPHISH;Corphish
175;FAMILY_BALTOY;Baltoy
176;FAMILY_LILEEP;Lileep
177;FAMILY_ANORITH;Anorith
178;FAMILY_FEEBAS;Feebas
179;FAMILY_CASTFORM;Castform
180;FAMILY_KECLEON;Kecleon
181;FAMILY_SHUPPET;Shuppet
182;FAMILY_DUSKULL;Duskull
183;FAMILY_TROPIUS;Tropius
184;FAMILY_CHIMECHO;Chimecho
185;FAMILY_ABSOL;Absol
186;FAMILY_SNORUNT;Snorunt
187;FAMILY_SPHEAL;Spheal
188;FAMILY_CLAMPERL;Clamperl
189;FAMILY_RELICANTH;Relicanth
190;FAMILY_LUVDISC;Luvdisc
191;FAMILY_BAGON;Bagon
192;FAMILY_BELDUM;Beldum
193;FAMILY_REGIROCK;Regirock
194;FAMILY_REGICE;Regice
195;FAMILY_REGISTEEL;Registeel
196;FAMILY_LATIAS;Latias
197;FAMILY_LATIOS;Latios
198;FAMILY_KYOGRE;Kyogre
199;FAMILY_GROUDON;Groudon
200;FAMILY_RAYQUAZA;Rayquaza
201;FAMILY_JIRACHI;Jirachi
202;FAMILY_DEOXYS;Deoxys
203;FAMILY_TURTWIG;Turtwig
204;FAMILY_CHIMCHAR;Chimchar
205;FAMILY_PIPLUP;Piplup
206;FAMILY_STARLY;Starly
207;FAMILY_BIDOOF;Bidoof
208;FAMILY_KRICKETOT;Kricketot
209;FAMILY_SHINX;Shinx
210;FAMILY_CRANIDOS;Cranidos
211;FAMILY_SHIELDON;Shieldon
212;FAMILY_BURMY;Burmy
213;FAMILY_COMBEE;Combee
214;FAMILY_PACHIRISU;Pachirisu
215;FAMILY_BUIZEL;Buizel
216;FAMILY_CHERUBI;Cherubi
217;FAMILY_SHELLOS;Shellos
218;FAMILY_DRIFLOON;Drifloon
219;FAMILY_BUNEARY;Buneary
220;FAMILY_GLAMEOW;Glameow
221;FAMILY_STUNKY;Stunky
222;FAMILY_BRONZOR;Bronzor
223;FAMILY_CHATOT;Chatot
224;FAMILY_SPIRITOMB;Spiritomb
225;FAMILY_GIBLE;Gible
226;FAMILY_LUCARIO;Lucario
227;FAMILY_HIPPOPOTAS;Hippopotas
228;FAMILY_SKORUPI;Skorupi
229;FAMILY_CROAGUNK;Croagunk
230;FAMILY_CARNIVINE;Carnivine
231;FAMILY_FINNEON;Finneon
232;FAMILY_SNOVER;Snover
233;FAMILY_ROTOM;Rotom
234;FAMILY_UXIE;Uxie
235;FAMILY_MESPRIT;Mesprit
236;FAMILY_AZELF;Azelf
237;FAMILY_DIALGA;Dialga
238;FAMILY_PALKIA;Palkia
239;FAMILY_HEATRAN;Heatran
240;FAMILY_REGIGIGAS;Regigigas
241;FAMILY_GIRATINA;Giratina
242;FAMILY_CRESSELIA;Cresselia
243;FAMILY_PHIONE;Phione
244;FAMILY_MANAPHY;Manaphy
245;FAMILY_DARKRAI;Darkrai
246;FAMILY_SHAYMIN;Shaymin
247;FAMILY_ARCEUS;Arceus
248;FAMILY_MELTAN;Meltan
