id;jhi_key;name
94;CROCONAW;Croconaw
95;SENTRET;Sentret
96;HOOTHOOT;Hoothoot
97;LEDYBA;Ledyba
98;SPINARAK;Spinarak
99;GOLBAT;Golbat
100;CHINCHOU;Chinchou
101;TOGEPI;Togepi
102;NATU;Natu
103;MAREEP;Mareep
104;FLAAFFY;Flaaffy
105;AZURILL;Azurill
106;MARILL;Marill
107;BONSLY;Bonsly
108;HOPPIP;Hoppip
109;SKIPLOOM;Skiploom
110;SUNKERN;Sunkern
111;WOOPER;Wooper
112;WYNAUT;Wynaut
113;PINECO;Pineco
114;ONIX;Onix
115;SNUBBULL;Snubbull
116;SCYTHER;Scyther
117;TEDDIURSA;Teddiursa
118;SLUGMA;Slugma
119;SWINUB;Swinub
120;REMORAID;Remoraid
121;MANTYKE;Mantyke
122;HOUNDOUR;Houndour
123;SEADRA;Seadra
124;PHANPY;Phanpy
125;PORYGON;Porygon
126;CHANSEY;Chansey
127;LARVITAR;Larvitar
128;PUPITAR;Pupitar
129;TREECKO;Treecko
130;GROVYLE;Grovyle
131;TORCHIC;Torchic
132;COMBUSKEN;Combusken
133;MUDKIP;Mudkip
134;MARSHTOMP;Marshtomp
135;POOCHYENA;Poochyena
136;ZIGZAGOON;Zigzagoon
137;WURMPLE;Wurmple
138;SILCOON;Silcoon
139;CASCOON;Cascoon
140;LOTAD;Lotad
141;LOMBRE;Lombre
142;SEEDOT;Seedot
143;NUZLEAF;Nuzleaf
144;TAILLOW;Taillow
145;WINGULL;Wingull
146;RALTS;Ralts
147;KIRLIA;Kirlia
148;SURSKIT;Surskit
149;SHROOMISH;Shroomish
150;SLAKOTH;Slakoth
151;VIGOROTH;Vigoroth
152;NINCADA;Nincada
153;WHISMUR;Whismur
154;LOUDRED;Loudred
155;MAKUHITA;Makuhita
156;SKITTY;Skitty
157;ARON;Aron
158;LAIRON;Lairon
159;MEDITITE;Meditite
160;ELECTRIKE;Electrike
161;BUDEW;Budew
162;GULPIN;Gulpin
163;CARVANHA;Carvanha
164;WAILMER;Wailmer
165;NUMEL;Numel
166;SPOINK;Spoink
167;TRAPINCH;Trapinch
168;VIBRAVA;Vibrava
169;CACNEA;Cacnea
170;SWABLU;Swablu
171;BARBOACH;Barboach
172;CORPHISH;Corphish
173;BALTOY;Baltoy
174;LILEEP;Lileep
175;ANORITH;Anorith
176;FEEBAS;Feebas
177;SHUPPET;Shuppet
178;DUSKULL;Duskull
179;CHINGLING;Chingling
180;SNORUNT;Snorunt
181;SPHEAL;Spheal
182;SEALEO;Sealeo
183;CLAMPERL;Clamperl
184;BAGON;Bagon
185;SHELGON;Shelgon
186;BELDUM;Beldum
187;METANG;Metang
188;TURTWIG;Turtwig
189;GROTLE;Grotle
190;CHIMCHAR;Chimchar
191;MONFERNO;Monferno
192;PIPLUP;Piplup
193;PRINPLUP;Prinplup
194;STARLY;Starly
195;STARAVIA;Staravia
196;BIDOOF;Bidoof
197;KRICKETOT;Kricketot
198;SHINX;Shinx
199;LUXIO;Luxio
200;ROSELIA;Roselia
201;CRANIDOS;Cranidos
202;SHIELDON;Shieldon
203;BURMY;Burmy
204;COMBEE;Combee
205;BUIZEL;Buizel
206;CHERUBI;Cherubi
207;SHELLOS;Shellos
208;SHELLOS_EAST_SEA;Shellos East Sea
209;DRIFLOON;Drifloon
210;BUNEARY;Buneary
211;MISDREAVUS;Misdreavus
212;MURKROW;Murkrow
213;GLAMEOW;Glameow
214;STUNKY;Stunky
215;BRONZOR;Bronzor
216;GIBLE;Gible
217;GABITE;Gabite
218;RIOLU;Riolu
219;HIPPOPOTAS;Hippopotas
220;SKORUPI;Skorupi
221;CROAGUNK;Croagunk
222;FINNEON;Finneon
223;SNOVER;Snover
224;SNEASEL;Sneasel
225;RHYDON;Rhydon
226;ELECTABUZZ;Electabuzz
227;MAGMAR;Magmar
228;TOGETIC;Togetic
229;GLIGAR;Gligar
230;PORYGON2;Porygon2
231;DUSCLOPS;Dusclops
232;MELTAN;Meltan
233;VENUSAUR;Venusaur
234;CHARIZARD;Charizard
235;BLASTOISE;Blastoise
236;BUTTERFREE;Butterfree
237;BEEDRILL;Beedrill
238;PIDGEOT;Pidgeot
239;RATICATE;Raticate
240;RATICATE_ALOLA;Raticate Alola
241;FEAROW;Fearow
242;ARBOK;Arbok
243;RAICHU;Raichu
244;SANDSLASH;Sandslash
245;SANDSLASH_ALOLA;Sandslash Alola
246;NIDOQUEEN;Nidoqueen
247;NIDOKING;Nidoking
248;CLEFABLE;Clefable
249;NINETALES;Ninetales
250;NINETALES_ALOLA;Ninetales Alola
251;WIGGLYTUFF;Wigglytuff
252;CROBAT;Crobat
253;VILEPLUME;Vileplume
254;BELLOSSOM;Bellossom
255;PARASECT;Parasect
256;VENOMOTH;Venomoth
257;DUGTRIO;Dugtrio
258;DUGTRIO_ALOLA;Dugtrio Alola
259;PERSIAN;Persian
260;PERSIAN_ALOLA;Persian Alola
261;GOLDUCK;Golduck
262;PRIMEAPE;Primeape
263;ARCANINE;Arcanine
264;POLIWRATH;Poliwrath
265;POLITOED;Politoed
266;ALAKAZAM;Alakazam
267;MACHAMP;Machamp
268;VICTREEBEL;Victreebel
269;TENTACRUEL;Tentacruel
270;GOLEM;Golem
271;GOLEM_ALOLA;Golem Alola
272;RAPIDASH;Rapidash
273;SLOWBRO;Slowbro
274;SLOWKING;Slowking
275;MAGNETON;Magneton
276;DODRIO;Dodrio
277;DEWGONG;Dewgong
278;MUK;Muk
279;MUK_ALOLA;Muk Alola
280;CLOYSTER;Cloyster
281;GENGAR;Gengar
282;STEELIX;Steelix
283;HYPNO;Hypno
284;KINGLER;Kingler
285;ELECTRODE;Electrode
286;EXEGGUTOR;Exeggutor
287;MAROWAK;Marowak
288;WEEZING;Weezing
289;RHYPERIOR;Rhyperior
290;BLISSEY;Blissey
291;KINGDRA;Kingdra
292;SEAKING;Seaking
293;STARMIE;Starmie
294;SCIZOR;Scizor
295;ELECTIVIRE;Electivire
296;MAGMORTAR;Magmortar
297;GYARADOS;Gyarados
298;VAPOREON;Vaporeon
299;JOLTEON;Jolteon
300;FLAREON;Flareon
301;ESPEON;Espeon
302;UMBREON;Umbreon
303;OMASTAR;Omastar
304;KABUTOPS;Kabutops
305;DRAGONITE;Dragonite
306;MEGANIUM;Meganium
307;TYPHLOSION;Typhlosion
308;FERALIGATR;Feraligatr
309;FURRET;Furret
310;NOCTOWL;Noctowl
311;LEDIAN;Ledian
312;ARIADOS;Ariados
313;LANTURN;Lanturn
314;TOGEKISS;Togekiss
315;XATU;Xatu
316;AMPHAROS;Ampharos
317;AZUMARILL;Azumarill
318;JUMPLUFF;Jumpluff
319;SUNFLORA;Sunflora
320;QUAGSIRE;Quagsire
321;HONCHKROW;Honchkrow
322;MISMAGIUS;Mismagius
323;FORRETRESS;Forretress
324;GLISCOR;Gliscor
325;GRANBULL;Granbull
326;WEAVILE;Weavile
327;URSARING;Ursaring
328;MAGCARGO;Magcargo
329;PILOSWINE;Piloswine
330;OCTILLERY;Octillery
331;HOUNDOOM;Houndoom
332;DONPHAN;Donphan
333;PORYGON_Z;Porygon Z
334;HITMONLEE;Hitmonlee
335;HITMONCHAN;Hitmonchan
336;HITMONTOP;Hitmontop
337;JYNX;Jynx
338;TYRANITAR;Tyranitar
339;SCEPTILE;Sceptile
340;BLAZIKEN;Blaziken
341;SWAMPERT;Swampert
342;MIGHTYENA;Mightyena
343;LINOONE;Linoone
344;BEAUTIFLY;Beautifly
345;DUSTOX;Dustox
346;LUDICOLO;Ludicolo
347;SHIFTRY;Shiftry
348;SWELLOW;Swellow
349;PELIPPER;Pelipper
350;GARDEVOIR;Gardevoir
351;MASQUERAIN;Masquerain
352;BRELOOM;Breloom
353;SLAKING;Slaking
354;NINJASK;Ninjask
355;EXPLOUD;Exploud
356;HARIYAMA;Hariyama
357;DELCATTY;Delcatty
358;AGGRON;Aggron
359;MEDICHAM;Medicham
360;MANECTRIC;Manectric
361;ROSERADE;Roserade
362;SWALOT;Swalot
363;SHARPEDO;Sharpedo
364;WAILORD;Wailord
365;CAMERUPT;Camerupt
366;GRUMPIG;Grumpig
367;FLYGON;Flygon
368;CACTURNE;Cacturne
369;ALTARIA;Altaria
370;WHISCASH;Whiscash
371;CRAWDAUNT;Crawdaunt
372;CLAYDOL;Claydol
373;CRADILY;Cradily
374;ARMALDO;Armaldo
375;MILOTIC;Milotic
376;BANETTE;Banette
377;DUSKNOIR;Dusknoir
378;WOBBUFFET;Wobbuffet
379;GLALIE;Glalie
380;WALREIN;Walrein
381;HUNTAIL;Huntail
382;GOREBYSS;Gorebyss
383;SALAMENCE;Salamence
384;METAGROSS;Metagross
385;TORTERRA;Torterra
386;INFERNAPE;Infernape
387;EMPOLEON;Empoleon
388;STARAPTOR;Staraptor
389;BIBAREL;Bibarel
390;KRICKETUNE;Kricketune
391;LUXRAY;Luxray
392;RAMPARDOS;Rampardos
393;BASTIODON;Bastiodon
394;WORMADAM_PLANT;Wormadam Plant
395;WORMADAM_SANDY;Wormadam Sandy
396;WORMADAM_TRASH;Wormadam Trash
397;MOTHIM;Mothim
398;VESPIQUEN;Vespiquen
399;FLOATZEL;Floatzel
400;CHERRIM_OVERCAST;Cherrim Overcast
401;CHERRIM_SUNNY;Cherrim Sunny
402;GASTRODON;Gastrodon
403;GASTRODON_WEST_SEA;Gastrodon West Sea
404;DRIFBLIM;Drifblim
405;LOPUNNY;Lopunny
406;PURUGLY;Purugly
407;CHIMECHO;Chimecho
408;SKUNTANK;Skuntank
409;BRONZONG;Bronzong
410;SUDOWOODO;Sudowoodo
411;MR_MIME;Mr Mime
412;GARCHOMP;Garchomp
413;SNORLAX;Snorlax
414;LUCARIO;Lucario
415;HIPPOWDON;Hippowdon
416;DRAPION;Drapion
417;TOXICROAK;Toxicroak
418;LUMINEON;Lumineon
419;MANTINE;Mantine
