id;name;animation_time_0;animation_time_1;animation_time_2;animation_time_3;animation_time_4;animation_time_5;animation_time_6;animation_time_7;animation_time_8;height;model_height;km_buddy_distance;weight;model_scale;max_cp;cylinder_ground;cylinder_radius;disk_radius;jhi_key;cinematic_moves_id;base_attack;base_defense;base_stamina
18;Pidgeot;2.0667;0.6667;1.6667;0.6667;0;2;1.8;0;1.5;2.18;1;39.5;0.72;2129;1.2;;;;PIDGEOT;;166;154;195
19;Rattata;1.9;0.6667;1.8;1.7667;0;2.4;0.8667;0;0.3;0.42;1;3.5;1.26;734;0.252;;;;RATTATA;;103;70;102
20;Rattata Alola;1.9;0.6667;1.8;1.7667;0;2.4;0.8667;0;0.3;0.42;1;3.8;1.26;734;0.252;;;;RATTATA_ALOLA;;103;70;102
21;Raticate;1.6667;0.6667;1.7333;1.6667;0;2;2.0667;0;0.7;0.7;1;18.5;1.17;1730;0.5265;;;;RATICATE;;161;139;146
22;Raticate Alola;1.6667;0.6667;1.7333;1.6667;0;2;2.0667;0;0.7;0.7;1;25.5;1.17;1705;0.5265;;;;RATICATE_ALOLA;;135;154;181
23;Spearow;1.5333;0.6667;1.6667;1.8333;0;2.3333;0.8;0;0.3;0.4;1;2;1.48;798;0.296;;;;SPEAROW;;112;60;120
24;Fearow;2.6667;0.6667;1.6667;0.8333;0;2.3333;1.6667;0;1.2;1.5;1;38;0.84;1997;1;;;;FEAROW;;182;133;163
25;Ekans;1.7333;0.6667;1.6667;1.8333;0;2.2;1.6;0;2;0.28;3;6.9;1.73;927;0.3;;;;EKANS;;110;97;111
26;Arbok;2.6667;0.6667;1.6667;1.5;0;2.6667;2.6667;0;3.5;1.6;3;65;0.82;1921;0.615;;;;ARBOK;;167;153;155
27;Pikachu;1.8333;0.6667;1.6;1.5667;0;1.8;1.1333;1.066667;0.4;0.4;1;6;1.48;938;0.37;;;;PIKACHU;;112;96;111
28;Raichu;2.2333;0.6667;2;2;0;2.6667;1;1.133333;0.8;0.83;1;30;1.08;2182;0.486;;;;RAICHU;;193;151;155
29;Raichu Alola;2.2333;0.6667;2;2;0;2.6667;1;1.133333;0.7;0.83;1;21;1.08;2286;0.486;;;;RAICHU_ALOLA;;201;154;155
30;Sandshrew;1.8;0.6667;1.4667;1.6667;0;2.6667;1;0;0.6;0.55;3;12;1.29;1261;0.4;;;;SANDSHREW;;126;120;137
31;Sandshrew Alola;1.8;0.6667;1.4667;1.6667;0;2.6667;1;0;0.7;0.55;3;40;1.29;1293;0.4;;;;SANDSHREW_ALOLA;;125;129;137
32;Sandslash;1.7333;0.6667;1.6667;1.6667;0;2;1.6;0;1;1;3;29.5;1;2374;0.4;;;;SANDSLASH;;182;175;181
33;Sandslash Alola;1.7333;0.6667;1.6667;1.6667;0;2;1.6;0;1.2;1;3;55;1;2432;0.4;;;;SANDSLASH_ALOLA;;177;195;181
34;Nidoran;1.3333;0.6667;1.6667;1.8333;0;1.6667;2.1333;0;0.4;0.4;3;7;1.48;816;0.3;;;;NIDORAN_FEMALE;;86;89;146
35;Nidorina;1.6667;0.6667;1.7667;1.4667;0;2;1.3333;0;0.8;0.7;3;20;1.17;1309;0.4388;;;;NIDORINA;;117;120;172
36;Nidoqueen;1.8333;0.6667;1.6667;1.6667;0;2;1.6667;0;1.3;1.25;3;60;0.91;2488;0.8;;;;NIDOQUEEN;;180;173;207
37;Nidorino;1.8333;0.6667;1.6667;1.6667;0;2;1.6667;0;0.5;0.5;3;9;1.26;860;0.4725;;;;NIDORAN_MALE;;105;76;130
38;Nidoking;1.8;0.6667;1.6667;1.7333;0;1.6667;1.6667;0;0.9;0.9;3;19.5;0.99;1393;0.495;;;;NIDORINO;;137;111;156
39;Clefairy;2;0.6667;2;1.5;0;2.1667;1.4;0;1.4;1.4;3;62;0.87;2567;1;;;;NIDOKING;;204;156;191
40;Clefable;2;0.6667;1.6667;1.8333;0;2;1.3333;1.666667;0.6;0.6;1;7.5;1.25;1155;0.45;;;;CLEFAIRY;;107;108;172
41;Vulpix;2.3333;0.6667;1.6667;1.8333;0;2.6667;1.3333;0;1.3;1.3;1;40;0.89;2437;0.712;;;;CLEFABLE;;178;162;216
42;Vulpix Alola;1.6667;0.6667;1.6667;1.6;0;2;1.3333;2.2;0.6;0.58;3;9.9;1.26;883;0.4;;;;VULPIX;;96;109;116
43;Ninetales;1.6667;0.6667;1.6667;1.6;0;2;1.3333;2.2;0.6;0.58;3;9.9;1.26;883;0.4;;;;VULPIX_ALOLA;;96;109;116
44;Ninetales Alola;2.6667;0.6667;2;2;0;2.1667;2;2;1.1;1.11;3;19.9;0.96;2279;0.65;;;;NINETALES;;169;190;177
45;Jigglypuff;2.6667;0.6667;2;2;0;2.1667;2;2;1.1;1.11;3;19.9;0.96;2309;0.65;;;;NINETALES_ALOLA;;170;193;177
46;Wigglytuff;2.6667;0.6667;1.6667;3.6667;0;2.6667;1.6667;2;0.5;0.56;1;5.5;1.28;724;0.4;;;;JIGGLYPUFF;;80;41;251
47;Zubat;1.6667;0.6667;1.6333;1.8333;0;1.8333;2;0;1;1.3;1;12;0.89;1926;0.5;;;;WIGGLYTUFF;;156;90;295
48;Golbat;1.3333;0.6667;1.3333;0.6667;0;1.5;1.3333;0;0.8;0.85;1;7.5;1.07;667;0.642;;;;ZUBAT;;83;73;120
49;Oddish;1.5;0.6667;1.3333;0.6667;0;2;2;0;1.6;1.95;1;55;0.71;1976;1.25;;;;GOLBAT;;161;150;181
50;Gloom;1.4667;0.6667;1.6667;1.6667;0;2.5;1.6667;0;0.5;0.5;3;5.4;1.35;1228;0.405;;;;ODDISH;;131;112;128
51;Vileplume;1.8333;0.6667;1.6667;1.6667;0;1.6667;1.2667;0;0.8;0.8;3;8.6;1.1;1681;0.495;;;;GLOOM;;153;136;155
52;Paras;2.1667;0.6667;1.6667;1.5;0;2.1667;0.9667;0;1.2;1.2;3;18.6;0.92;2559;0.828;;;;VILEPLUME;;202;167;181
53;Parasect;1.6667;0.6667;1.7667;1.6333;0;2.3333;1.3333;1.533333;0.3;0.43;3;5.4;1.28;1018;0.384;;;;PARAS;;121;99;111
54;Venonat;1.6667;0.6667;1.6667;1.8333;0;1.6667;2;0;1;0.97;3;29.5;1.01;1859;0.6313;;;;PARASECT;;165;146;155
55;Venomoth;2;0.6667;1.6667;2;0;2;2;0;1;1.42;3;30;0.71;1004;0.5325;;;;VENONAT;;100;100;155
56;Diglett;0;0.6;1.6667;0.6;0;2.1333;1.6;0;1.5;1.6;3;12.5;0.72;2082;1;;;;VENOMOTH;;179;143;172
57;Diglett Alola;1.4333;0.6667;2;0.8667;0;2.1667;1.3333;1.333333;0.2;0.2;3;0.8;2;676;0.15;;;;DIGLETT;;109;78;67
58;Dugtrio;1.4333;0.6667;2;0.8667;0;2.1667;1.3333;1.333333;0.2;0.2;3;1;2;690;0.15;;;;DIGLETT_ALOLA;;109;82;67
59;Dugtrio Alola;1.7333;0.6667;1.6667;0.9;0;2.1333;2;0;0.7;0.77;3;33.3;1.12;1557;0.672;;;;DUGTRIO;;167;134;111
60;Meowth;1.7333;0.6667;1.6667;0.9;0;2.1333;2;0;0.7;0.77;3;66.6;1.12;1915;0.672;;;;DUGTRIO_ALOLA;;201;145;111
61;Meowth Alola;2;0.6667;1.7333;1.5;0;2;1.4;2;0.4;0.4;3;4.2;1.6;748;0.2;;;;MEOWTH;;92;78;120
62;Persian;2;0.6667;1.7333;1.5;0;2;1.4;2;0.4;0.4;3;4.2;1.6;797;0.2;;;;MEOWTH_ALOLA;;99;78;120
63;Persian Alola;2;0.6667;1.6667;1.8333;0;1.6667;1.6667;0;1;1.38;3;32;0.82;1689;0.8;;;;PERSIAN;;150;136;163
64;Psyduck;2;0.6667;1.6667;1.8333;0;1.6667;1.6667;0;1.1;1.38;3;33;0.82;1771;0.8;;;;PERSIAN_ALOLA;;158;136;163
65;Golduck;1.8333;0.6667;1.6667;1.5;0;2.6;1.6667;0;0.8;0.9;3;19.6;0.97;1106;0.5;;;;PSYDUCK;;122;95;137
66;Mankey;1.6667;0.6667;1.6667;1.6667;0;2;1.6667;0;1.7;1.4;3;76.6;0.93;2450;0.465;;;;GOLDUCK;;191;162;190
67;Primeape;1.5;0.6;1.3333;1.6333;0;1.9667;0.9333;0;0.5;0.55;3;28;1.29;1164;0.4838;;;;MANKEY;;148;82;120
68;Growlithe;1.3333;0.6667;1.5;1.3333;0;1.6667;1.3333;0;1;1.2;3;32;0.92;2288;0.7;;;;PRIMEAPE;;207;138;163
69;Arcanine;2.0333;0.6667;1.8;1.5;0;2.2667;0.8;1.8;0.7;0.7;3;19;1.17;1243;0.55;;;;GROWLITHE;;136;93;146
70;Poliwag;2.1333;0.6667;1.7333;1.8333;0;1.8667;1.7333;2;1.9;2;3;155;0.74;3029;1.25;;;;ARCANINE;;227;166;207
71;Poliwhirl;1.6667;0.6667;2;1.5;0;1.6667;1.5;0;0.6;0.6;3;12.4;1.25;829;0.5;;;;POLIWAG;;101;82;120
72;Poliwrath;1.3333;0.6667;2.1667;1.5;0;2;1.3333;0;1;1.05;3;20;0.98;1419;0.735;;;;POLIWHIRL;;130;123;163
73;Abra;2;0.6667;1.6667;1.6667;0;2;1.2333;0;1.3;1.42;3;54;0.86;2586;0.817;;;;POLIWRATH;;182;184;207
74;Kadabra;0;0.6667;1.6667;0.6667;0;2.1667;2.6667;0;0.9;0.77;3;19.5;1.12;1342;0.448;;;;ABRA;;195;82;93
75;Alakazam;1.7333;0.6667;1.6667;1.8667;0;2.1;1.7333;0;1.3;1.3;3;56.5;0.89;2059;0.6675;;;;KADABRA;;232;117;120
76;Machop;2;0.6667;1.6667;1.5;0;2.3333;2.5;2;1.5;1.45;3;48;0.85;3057;0.51;;;;ALAKAZAM;;271;167;146
77;Machoke;2.2667;0.6667;2;1.7333;0;2.1667;1;0;0.8;0.8;3;19.5;1.1;1278;0.4125;;;;MACHOP;;137;82;172
78;Machamp;1.5;0.6667;1.6667;1.6667;0;2.1667;1.0667;0;1.5;1.4;3;70.5;0.91;2031;0.546;;;;MACHOKE;;177;125;190
79;Bellsprout;1.6667;0.6667;1.6667;1.6667;0;1.6667;1.3333;1.333333;1.6;1.5;3;130;0.89;3056;0.75;;;;MACHAMP;;234;159;207
80;Weepinbell;1.7;0.6667;2.5;1.8333;0;2;2;0;0.7;0.55;3;4;1.29;1033;0.3;;;;BELLSPROUT;;139;61;137
81;Victreebel;1.8;0.6667;1.5333;0.6667;0;2.2667;2;0;1;1;3;6.4;1;1611;0.65;;;;WEEPINBELL;;172;92;163
82;Tentacool;2;0.6667;1.6667;0.6667;0;2.1667;2;0;1.7;1.48;3;15.5;0.84;2431;1.25;;;;VICTREEBEL;;207;135;190
83;Tentacruel;2.6667;0.6667;1.6667;0.6667;0;2.3;2;0;0.9;0.9;3;45.5;1.05;1040;0.315;;;;TENTACOOL;;97;149;120
84;Geodude;2.1667;0.6667;1.3333;0.6667;0;2;2.6667;2;1.6;1.6;3;55;0.82;2422;0.7;;;;TENTACRUEL;;166;209;190
85;Geodude Alola;2.3333;0.6667;1.6667;0.6667;0;2;1.6667;0;0.4;1.38;1;20;0.87;1293;0.7;;;;GEODUDE;;132;132;120
86;Graveler;2.3333;0.6667;1.6667;0.6667;0;2;1.6667;0;0.4;1.38;1;20.3;0.87;1293;0.7;;;;GEODUDE_ALOLA;;132;132;120
87;Graveler Alola;2.3333;0.6667;1.8667;1.8333;0;2;1.6667;0;1;1.6;1;105;0.82;1897;0.8;;;;GRAVELER;;164;164;146
88;Golem;2.3333;0.6667;1.8667;1.8333;0;2;1.6667;0;1;1.6;1;110;0.82;1897;0.8;;;;GRAVELER_ALOLA;;164;164;146
89;Golem Alola;2.6667;0.6667;2;2;0;2.1667;2;0;1.4;1.5;1;300;0.84;2949;0.8;;;;GOLEM;;211;198;190
90;Ponyta;2.6667;0.6667;2;2;0;2.1667;2;0;1.7;1.5;1;316;0.84;2949;0.8;;;;GOLEM_ALOLA;;211;198;190
91;Rapidash;2.3333;0.6667;1.6667;1.5;5.333333;2.3333;1.6667;0;1;0.97;3;30;1.01;1697;0.5;;;;PONYTA;;170;127;137
92;Slowpoke;2.0667;0.8333;2.3333;1.8667;0;2.1667;2.6667;0;1.7;1.65;3;95;0.81;2461;1;;;;RAPIDASH;;207;162;163
93;Slowbro;3;0.6667;2;1.6667;0;2;1.6667;0;1.2;1.52;3;36;0.79;1226;0.75;;;;SLOWPOKE;;109;98;207
94;Magnemite;2.3333;0.6667;1.6667;2.1;0;1.8333;2;3;1.6;1.46;3;78.5;0.85;2545;1;;;;SLOWBRO;;177;180;216
95;Magneton;1.3333;0.6667;1.2333;0.6667;0;2;1.1667;1.166667;0.3;0.38;3;6;1.52;1362;0.3;;;;MAGNEMITE;;165;121;93
96;Farfetch'd;1.5;0.6667;1.3333;0.6667;0;1.8333;2;0;1;0.8;3;60;1.1;2485;0.6;;;;MAGNETON;;223;169;137
97;Doduo;1.6667;0.6667;1.6667;1.8333;0;1.8333;1.6;0;0.8;0.75;3;15;1.13;1236;0.452;;;;FARFETCHD;;124;115;141
98;Dodrio;2;0.6667;1.6667;1.5;0;2;1.5333;0;1.4;1.35;3;39.2;0.88;1200;0.55;;;;DODUO;;158;83;111
99;Seel;1.3333;0.6667;1.6667;2;0;2;2;0;1.8;1.8;3;85.2;0.78;2362;0.8;;;;DODRIO;;218;140;155
100;Dewgong;2.6667;0.6667;1.8333;1.6667;0;2;2;0;1.1;0.8;3;90;1.1;971;0.5;;;;SEEL;;85;121;163
101;Grimer;2.0667;0.8333;1.6667;0.6667;0;2.3333;2;0;1.7;0.89;3;120;1.05;1985;0.525;;;;DEWGONG;;139;177;207
102;Grimer Alola;1.6667;0.6667;1.6667;1.6667;10;1.6667;2.6667;0;0.9;1.05;3;30;0.98;1374;0.75;;;;GRIMER;;135;90;190
103;Muk;1.6667;0.6667;1.6667;1.6667;10;1.6667;2.6667;0;0.7;1.05;3;42;0.98;1374;0.75;;;;GRIMER_ALOLA;;135;90;190
104;Muk Alola;2;1;1.6667;2.1667;10;2;2.6667;0;1.2;1.88;3;30;0.76;2757;1.5;;;;MUK;;190;172;233
105;Shellder;2;1;1.6667;2.1667;10;2;2.6667;0;1;1.88;3;52;0.76;2757;1.5;;;;MUK_ALOLA;;190;172;233
106;Cloyster;2;0.6667;1.6667;1.6667;0;1.6667;2.6667;0;0.3;0.3;3;4;1.68;1080;0.3864;;;;SHELLDER;;116;134;102
107;Gastly;2.4333;0.6667;1.7333;0.6667;0;2.3333;1.9667;3.8;1.5;1.5;3;132.5;0.84;2547;0.85;;;;CLOYSTER;;186;256;137
108;Haunter;0;0.6667;1.6667;1;0;2.1333;2.1333;0;1.3;1;3;0.1;1;1229;0.6;;;;GASTLY;;186;67;102
109;Gengar;2.1667;0.6667;1.6667;0.6667;0;2.3333;2;0;1.6;1.87;3;0.1;0.68;1963;1.5;;;;HAUNTER;;223;107;128
110;Onix;1.6667;0.6667;1.6667;1.8333;0;1.6667;1.3333;1.666667;1.5;1.5;3;40.5;0.84;2878;1;;;;GENGAR;;261;149;155
111;Drowzee;2.3333;0.6667;1.7333;1.7333;0;2.3333;2.0333;0;8.8;5.75;5;210;0.47;1101;2.5;;;;ONIX;;85;232;111
112;Hypno;1.8333;0.6667;1.6667;1.7667;0;2;2.3333;0;1;0.9;3;32.4;1.05;1040;0.5;;;;DROWZEE;;89;136;155
113;Krabby;1.8667;0.6667;2;1.4333;0;2.6667;1.6;0;1.6;1.55;3;75.6;0.83;2090;1;;;;HYPNO;;144;193;198
114;Kingler;1.4333;0.6667;1.6667;1.5;0;2.3333;1.3333;0;0.4;0.71;3;6.5;1.16;1561;0.6;;;;KRABBY;;181;124;102
115;Voltorb;2.2667;0.6667;1.8;1.5667;0;2;1.5333;0;1.3;1.37;3;60;0.87;2829;1.25;;;;KINGLER;;240;181;146
116;Electrode;2.6667;0.6667;1.6667;1.8333;0;2.3333;2;2;0.5;0.5;3;10.4;1.35;1010;0.3;;;;VOLTORB;;109;111;120
117;Exeggcute;2.3333;0.6667;1.6667;1.8333;0;2.3333;3;0;1.2;1.2;3;66.6;0.92;2099;0.75;;;;ELECTRODE;;173;173;155
118;Exeggutor;2.5;0.6667;1.6667;1.6667;0;2;2;0;0.4;0.93;3;2.5;1.03;1175;0.515;;;;EXEGGCUTE;;107;125;155
119;Exeggutor Alola;2.4667;0.6667;1.6667;2;0;2.2;1.6;0;2;1.8;3;120;0.78;3014;1.25;;;;EXEGGUTOR;;233;149;216
120;Cubone;2.4667;0.6667;1.6667;2;0;2.2;1.6;0;10.9;6;3;415.6;0.78;3014;1.25;;;;EXEGGUTOR_ALOLA;;230;153;216
121;Marowak;1.7333;0.6667;1.6;1.6;0;1.8333;1.6;0;0.4;0.4;3;6.5;1.48;1019;0.25;;;;CUBONE;;90;144;137
122;Marowak Alola;2;0.6667;1.6667;1.5;0;2;1.4;0;1;1;3;45;1;1835;0.4;;;;MAROWAK;;144;186;155
123;Hitmonlee;2;0.6667;1.6667;1.5;0;2;1.4;0;1;1;3;34;1;1835;0.4;;;;MAROWAK_ALOLA;;144;186;155
124;Hitmonchan;1.6667;0.6667;1.6667;1.5;0;2;0.9333;0;1.5;1.44;5;49.8;0.83;2576;0.75;;;;HITMONLEE;;224;181;137
125;Lickitung;1.5;0.6667;1.6667;1.6667;0;1.7333;0.6667;0;1.4;1.14;5;50.2;1.02;2332;0.459;;;;HITMONCHAN;;193;197;137
126;Koffing;1.6667;0.6667;1.6667;1.7333;0;2;0.8;0;1.2;1.2;3;65.5;0.92;1411;0.75;;;;LICKITUNG;;108;137;207
127;Weezing;1.3333;0.6667;1.5;0.6667;6.666667;2;2;0;0.6;0.65;3;1;1.2;1214;0.48;;;;KOFFING;;119;141;120
128;Rhyhorn;2;0.6667;1.6667;0.6667;3.333333;2.4667;2.6667;0;1.2;0.76;3;9.5;1.24;2293;0.62;;;;WEEZING;;174;197;163
129;Rhydon;1.7667;1;1.5;1.8333;0;2.6667;2.4;0;1;1;3;115;1;1651;0.7;;;;RHYHORN;;140;127;190
130;Chansey;1.7;0.6667;2.1;1.7;0;2;1.6;0;1.9;1.85;3;120;0.79;3179;1;;;;RHYDON;;222;171;233
131;Tangela;2.1667;0.6667;2;1.5667;0;2.1667;1.7333;1.666667;1.1;1.1;5;34.6;0.96;1255;0.7;;;;CHANSEY;;60;128;487
132;Kangaskhan;2;0.6667;1.8333;1.8333;0;2.5;1.8667;0;1;1;3;35;1;2238;0.65;;;;TANGELA;;183;169;163
133;Horsea;2.1333;0.6667;1.6667;1.5;0;2.3333;2.3333;2.333333;2.2;2.18;3;80;0.72;2586;1.25;;;;KANGASKHAN;;181;165;233
134;Seadra;0;0.6667;1.7333;0.8333;0.333333;1.6667;2;0;0.4;0.4;3;8;1.48;1056;0.25;;;;HORSEA;;129;103;102
135;Goldeen;0;0.6667;1.6667;0.6667;0;1.8333;2;0;1.2;1.2;3;25;0.92;2093;0.75;;;;SEADRA;;187;156;146
136;Seaking;3;1;1.6667;0.6667;0;2.1667;2.3;0;0.6;0.5;3;15;1.35;1152;0.27;;;;GOLDEEN;;123;110;128
137;Staryu;3.5;0.6667;1.6667;0.8333;0;1.6667;2;0;1.3;1.36;3;39;0.88;2162;0.6;;;;SEAKING;;175;147;190
138;Starmie;1.3333;0.6667;1.6667;1.8333;0;1.6667;2;2;0.8;0.8;3;34.5;1.1;1157;0.4125;;;;STARYU;;137;112;102
139;Mr. Mime;1.7333;0.6667;1.8667;2.1;0;2.6667;1.9;2.1;1.1;1.08;3;80;0.97;2584;0.6;;;;STARMIE;;210;184;155
140;Scyther;2.6667;0.8333;1.8333;2;0;2;2.5333;0;1.3;1.3;5;54.5;0.89;2228;0.8;;;;MR_MIME;;192;205;120
141;Jynx;1.7333;0.6667;1.6667;0.6667;0;2;2;0;1.5;1.5;5;56;0.8;2706;1;;;;SCYTHER;;218;170;172
142;Electabuzz;2.2667;0.6667;1.6667;1.7667;0;1.8667;2;0;1.4;1.4;5;40.6;0.87;2555;0.75;;;;JYNX;;223;151;163
143;Magmar;1.5;0.6667;1.5;1.5;0;1.6667;1.3333;0;1.1;1.2;5;30;0.98;2334;0.7;;;;ELECTABUZZ;;198;158;163
144;Pinsir;1.6667;0.6667;1.6667;1.8333;8;2;2;0;1.3;1.35;5;44.5;0.88;2394;0.75;;;;MAGMAR;;206;154;163
145;Tauros;2;0.6667;1.6667;1.8333;0;2;1.3333;0;1.5;1.4;5;55;0.87;2959;0.85;;;;PINSIR;;238;182;163
146;Magikarp;2.3333;0.6667;1.6667;2;0;1.6667;1.6;0;1.4;1.4;3;88.4;0.87;2620;1;;;;TAUROS;;198;183;181
147;Gyarados;1.3333;0.6667;0;1.5;0;0;1;0;0.9;0.85;1;10;1.07;274;0.6;;;;MAGIKARP;;29;85;85
148;Lapras;2;0.6667;1.5;0.6667;0;2.3333;2;2;6.5;5.56;1;235;0.48;3391;2;;;;GYARADOS;;237;186;216
149;Ditto;2.6667;0.6667;1.6667;1.9;0;2.4;3;2.666667;2.5;2.57;5;220;0.7;2641;1.5;;;;LAPRAS;;165;174;277
150;Eevee;0;0.6667;1.6667;1.6667;0;2;2;0;0.3;0.33;3;4;1.61;832;0.3;;;;DITTO;;91;91;134
151;Vaporeon;2.4667;0.6667;2.0667;1.8333;0;2.3333;0.8667;1.233333;0.3;0.3;5;6.5;1.68;1071;0.25;;;;EEVEE;;104;114;146
152;Jolteon;1.8667;0.6667;1.9;1.7;0;2;2.1333;2.133333;1;0.89;5;29;1.05;3114;0.45;;;;VAPOREON;;205;161;277
153;Flareon;2.6333;0.6667;1.9333;2.3333;0;2.6667;1.3333;1.866667;0.8;0.8;5;24.5;1.1;2888;0.33;;;;JOLTEON;;232;182;163
154;Porygon;2.5;0.6667;1.6667;2.0667;0;2.3333;1;2.666667;0.9;1.27;5;25;0.87;3029;0.5;;;;FLAREON;;246;179;163
155;Omanyte;1.8333;0.6667;0;0.6667;0;2.6667;1.6;0;0.8;0.8;3;36.5;1.1;1720;0.55;;;;PORYGON;;153;136;163
156;Omastar;2;0.6667;1.6667;1.8333;0;2.3333;2.6667;0;0.4;0.4;5;7.5;1.48;1544;0.3;;;;OMANYTE;;155;153;111
157;Kabuto;2;0.6667;1.6667;1.8333;0;2;2.6667;0;1;1;5;35;1;2786;0.5;;;;OMASTAR;;207;201;172
158;Kabutops;0;0.6667;0;1.5;0;2;2;0;0.5;0.5;5;11.5;1.35;1370;0.3375;;;;KABUTO;;148;140;102
159;Aerodactyl;2.1667;0.6667;1.6667;1.6;0;2.2;1.2;0;1.3;1.25;5;40.5;0.91;2713;0.7;;;;KABUTOPS;;220;186;155
160;Snorlax;2.1667;0.9;1.5;0.7333;0;2;1.3333;1.666667;1.8;3.7;5;59;0.57;2783;1.5;;;;AERODACTYL;;221;159;190
161;Articuno;2.4;0.6667;1.8333;1.6667;0;2.5;2.5;2.333333;2.1;2;5;460;0.74;3225;1.15;;;;SNORLAX;;190;169;330
162;Zapdos;2.0667;1;1.6667;0.6667;0;2.4;1.3333;1.333333;1.7;2.6;20;55.4;0.66;3051;1.25;;;;ARTICUNO;;192;236;207
163;Moltres;1.6;0.8333;1.5;0.8333;0;2;1;1.666667;1.6;2.36;20;52.6;0.69;3527;1.25;;;;ZAPDOS;;253;185;207
164;Dratini;2.7333;1.3333;2;1.1667;0;2.5;1.8;1.8;2;3;20;60;0.62;3465;1.25;;;;MOLTRES;;251;181;207
165;Dragonair;1.6667;0.6667;1.8333;1.4333;0;2;1.6;0;1.8;0.78;5;3.3;1.11;1004;0.4;;;;DRATINI;;119;91;121
166;Dragonite;1.6;0.6667;1.6667;2;0;2.5;2;2;4;1.95;5;16.5;0.75;1780;0.75;;;;DRAGONAIR;;163;135;156
167;Mewtwo;2.6667;0.6667;1.6667;0.8333;0;2.6667;1.5;1.5;2.2;2.28;5;210;0.7;3792;1;;;;DRAGONITE;;263;198;209
168;Mew;1.3333;0.6667;1.6667;2;0;2;3;3;2;2;20;122;0.74;4178;0.6;;;;MEWTWO;;300;182;214
169;Chikorita;2.6667;0.6667;1.6667;0.6667;0;2.6667;1.6667;2;0.4;0.45;20;4;1.41;3265;0.3;;;;MEW;;210;210;225
170;Bayleef;1.3333;0.6667;1.6667;2;0;2;3;3;0.89;0.55;3;6.4;1.29;935;0.3;;;;CHIKORITA;;92;122;128
171;Meganium;1.3333;0.6667;1.6667;2;0;2;3;3;1.19;1.3;3;15.8;0.89;1454;0.65;;;;BAYLEEF;;122;155;155
172;Cyndaquil;1.3333;0.6667;1.6667;2;0;2;3;3;1.8;1.75;3;100.5;0.79;2410;0.85;;;;MEGANIUM;;168;202;190
